VALOR;UNIDAD;VIGENCIADESDE;VIGENCIAHASTA
1,788.08;COP;10/08/12;10/08/12
1,788.03;COP;9/08/12;9/08/12
1,785.29;COP;7/08/12;8/08/12
1,786.06;COP;4/08/12;6/08/12
1,790.97;COP;3/08/12;3/08/12
1,787.51;COP;2/08/12;2/08/12
1,790.74;COP;1/08/12;1/08/12
1,821.86;COP;20/01/12;20/01/12
1,827.24;COP;19/01/12;19/01/12
1,836.34;COP;18/01/12;18/01/12
1,841.31;COP;14/01/12;17/01/12
1,842.47;COP;13/01/12;13/01/12
1,854.17;COP;12/01/12;12/01/12
1,865.07;COP;11/01/12;11/01/12
1,884.47;COP;7/01/12;10/01/12
1,884.44;COP;6/01/12;6/01/12
1,898.24;COP;5/01/12;5/01/12
1,915.02;COP;4/01/12;4/01/12
1,942.70;COP;30/12/11;3/01/12
1,938.52;COP;29/12/11;29/12/11
1,920.16;COP;28/12/11;28/12/11
1,920.93;COP;24/12/11;27/12/11
1,927.71;COP;23/12/11;23/12/11
1,935.72;COP;22/12/11;22/12/11
1,932.08;COP;21/12/11;21/12/11
1,939.39;COP;20/12/11;20/12/11
1,935.64;COP;17/12/11;19/12/11
1,935.96;COP;16/12/11;16/12/11
1,937.60;COP;15/12/11;15/12/11
1,929.01;COP;14/12/11;14/12/11
1,932.30;COP;13/12/11;13/12/11
1,927.10;COP;10/12/11;12/12/11
1,930.57;COP;8/12/11;9/12/11
1,936.11;COP;7/12/11;7/12/11
1,936.29;COP;6/12/11;6/12/11
1,938.83;COP;3/12/11;5/12/11
1,949.56;COP;2/12/11;2/12/11
1,948.51;COP;1/12/11;1/12/11
1,967.18;COP;30/11/11;30/11/11
1,946.28;COP;29/11/11;29/11/11
1,948.48;COP;26/11/11;28/11/11
1,932.63;COP;24/11/11;25/11/11
1,925.39;COP;23/11/11;23/11/11
1,928.47;COP;22/11/11;22/11/11
1,917.45;COP;19/11/11;21/11/11
1,910.83;COP;18/11/11;18/11/11
1,912.20;COP;17/11/11;17/11/11
1,915.41;COP;16/11/11;16/11/11
1,913.65;COP;11/11/11;15/11/11
1,917.69;COP;10/11/11;10/11/11
1,908.71;COP;9/11/11;9/11/11
1,915.72;COP;5/11/11;8/11/11
1,905.38;COP;4/11/11;4/11/11
1,889.66;COP;3/11/11;3/11/11
1,891.38;COP;2/11/11;2/11/11
1,871.49;COP;1/11/11;1/11/11
1,863.06;COP;29/10/11;31/10/11
1,862.84;COP;28/10/11;28/10/11
1,878.10;COP;27/10/11;27/10/11
1,875.55;COP;26/10/11;26/10/11
1,878.78;COP;25/10/11;25/10/11
1,897.45;COP;22/10/11;24/10/11
1,905.95;COP;21/10/11;21/10/11
1,900.10;COP;20/10/11;20/10/11
1,902.47;COP;19/10/11;19/10/11
1,895.33;COP;15/10/11;18/10/11
1,909.12;COP;14/10/11;14/10/11
1,896.72;COP;13/10/11;13/10/11
1,913.60;COP;12/10/11;12/10/11
1,931.64;COP;8/10/11;11/10/11
1,952.09;COP;7/10/11;7/10/11
1,967.56;COP;6/10/11;6/10/11
1,972.76;COP;5/10/11;5/10/11
1,943.80;COP;4/10/11;4/10/11
1,929.01;COP;1/10/11;3/10/11
1,915.10;COP;30/09/11;30/09/11
1,907.75;COP;29/09/11;29/09/11
1,887.38;COP;28/09/11;28/09/11
1,903.31;COP;27/09/11;27/09/11
1,902.45;COP;24/09/11;26/09/11
1,915.63;COP;23/09/11;23/09/11
1,882.23;COP;22/09/11;22/09/11
1,854.96;COP;21/09/11;21/09/11
1,843.26;COP;20/09/11;20/09/11
1,820.29;COP;17/09/11;19/09/11
1,822.04;COP;16/09/11;16/09/11
1,824.15;COP;15/09/11;15/09/11
1,813.42;COP;14/09/11;14/09/11
1,811.34;COP;13/09/11;13/09/11
1,796.58;COP;10/09/11;12/09/11
1,789.90;COP;9/09/11;9/09/11
1,789.30;COP;8/09/11;8/09/11
1,791.89;COP;7/09/11;7/09/11
1,782.80;COP;3/09/11;6/09/11
1,778.51;COP;2/09/11;2/09/11
1,780.26;COP;1/09/11;1/09/11
1,783.66;COP;31/08/11;31/08/11
1,787.52;COP;30/08/11;30/08/11
1,794.02;COP;27/08/11;29/08/11
1,791.05;COP;26/08/11;26/08/11
1,791.61;COP;25/08/11;25/08/11
1,781.91;COP;24/08/11;24/08/11
1,779.86;COP;23/08/11;23/08/11
1,779.05;COP;20/08/11;22/08/11
1,775.84;COP;19/08/11;19/08/11
1,767.29;COP;18/08/11;18/08/11
1,776.66;COP;17/08/11;17/08/11
1,783.35;COP;13/08/11;16/08/11
1,793.47;COP;12/08/11;12/08/11
1,852.67;COP;3/02/11;3/02/11
1,853.71;COP;26/01/11;26/01/11
1,842.43;COP;25/01/11;25/01/11
1,838.94;COP;22/01/11;24/01/11
1,849.59;COP;21/01/11;21/01/11
1,841.90;COP;20/01/11;20/01/11
1,864.64;COP;19/01/11;19/01/11
1,872.46;COP;15/01/11;18/01/11
1,864.36;COP;14/01/11;14/01/11
1,855.46;COP;13/01/11;13/01/11
1,856.79;COP;12/01/11;12/01/11
1,859.97;COP;8/01/11;11/01/11
1,869.94;COP;7/01/11;7/01/11
1,894.82;COP;6/01/11;6/01/11
1,899.86;COP;5/01/11;5/01/11
1,902.71;COP;4/01/11;4/01/11
1,913.98;COP;31/12/10;3/01/11
1,989.88;COP;30/12/10;30/12/10
